CVE;advisory name;advisory URL;exploit type (local/remote)
CVE-2003-0105;Corsaire Security Advisory 2003 02 24.1;https://packetstormsecurity.com/files/34005/Corsaire-Security-Advisory-2003-02-24.1.html;unknown
CVE-2003-0150;MySQL 5.7.15 5.6.33 5.5.52 Remote Code Execution;https://packetstormsecurity.com/files/138678/MySQL-5.7.15-5.6.33-5.5.52-Remote-Code-Execution.html;remote
CVE-2003-0213;Poptop Negative Read Overflow;https://packetstormsecurity.com/files/82248/Poptop-Negative-Read-Overflow.html;unknown
CVE-2003-0264;SLMail 5.1.0.4420 Remote Code Execution;https://packetstormsecurity.com/files/161526/SLMail-5.1.0.4420-Remote-Code-Execution.html;remote
CVE-2003-0533;sasserftpd.c;https://packetstormsecurity.com/files/33304/sasserftpd.c.html;remote
CVE-2003-0540;postfix.pl;https://packetstormsecurity.com/files/31486/postfix.pl.html;remote/DoS
CVE-2003-0543;sslexp.c;https://packetstormsecurity.com/files/32590/sslexp.c.html;unknown
CVE-2003-0544;sslexp.c;https://packetstormsecurity.com/files/32590/sslexp.c.html;unknown
CVE-2003-0545;sslexp.c;https://packetstormsecurity.com/files/32590/sslexp.c.html;unknown
CVE-2003-0609;raptor_ldpreload.c;https://packetstormsecurity.com/files/35496/raptor_ldpreload.c.html;local
CVE-2003-0630;p_atari800.c;https://packetstormsecurity.com/files/33673/p_atari800.c.html;local
CVE-2003-0718;ms04 030_spl.pl;https://packetstormsecurity.com/files/34685/ms04-030_spl.pl.html;unknown
CVE-2003-0727;Oracle 9i XDB 9.2.01 HTTP PASS Buffer Overflow;https://packetstormsecurity.com/files/144341/Oracle-9i-XDB-9.2.01-HTTP-PASS-Buffer-Overflow.html;unknown
CVE-2003-0727;Oracle 9i XDB FTP Pass Overflow;https://packetstormsecurity.com/files/135572/Oracle-9i-XDB-FTP-Pass-Overflow.html;unknown
CVE-2003-0727;Oracle XDB FTP Service UNLOCK Buffer Overflow;https://packetstormsecurity.com/files/144108/Oracle-XDB-FTP-Service-UNLOCK-Buffer-Overflow.html;unknown
CVE-2003-0749;SAP 07 010.txt;https://packetstormsecurity.com/files/66179/SAP-07-010.txt.html;unknown
CVE-2003-0758;IBM DB2 db2licm.c;https://packetstormsecurity.com/files/31725/IBM-DB2-db2licm.c.html;local
CVE-2003-0759;IBM DB2 db2licm.c;https://packetstormsecurity.com/files/31725/IBM-DB2-db2licm.c.html;local
CVE-2003-0783;0x333hztty.c;https://packetstormsecurity.com/files/31675/0x333hztty.c.html;local
CVE-2003-0834;raptor_libdthelp.c;https://packetstormsecurity.com/files/35497/raptor_libdthelp.c.html;local
CVE-2003-0834;raptor_libdthelp2.c;https://packetstormsecurity.com/files/35498/raptor_libdthelp2.c.html;local
CVE-2003-0970;_BSSADV 0000.txt;https://packetstormsecurity.com/files/32282/_BSSADV-0000.txt.html;remote
CVE-2003-0971;_BSSADV 0000.txt;https://packetstormsecurity.com/files/32282/_BSSADV-0000.txt.html;remote
CVE-2003-0990;SquirrelMail PGP Plugin Command Execution;https://packetstormsecurity.com/files/82369/SquirrelMail-PGP-Plugin-Command-Execution.html;unknown
CVE-2004-0077;isec 0014 mremap unmap.v2.txt;https://packetstormsecurity.com/files/32797/isec-0014-mremap-unmap.v2.txt.html;unknown
CVE-2004-0104;metaexpl.tgz;https://packetstormsecurity.com/files/33433/metaexpl.tgz.html;remote
CVE-2004-0105;metaexpl.tgz;https://packetstormsecurity.com/files/33433/metaexpl.tgz.html;remote
CVE-2004-0114;flokken 0.1 whore.tar;https://packetstormsecurity.com/files/50623/flokken-0.1-whore.tar.html;local
CVE-2004-0194;Adobe Reader 5.1 XFDF Buffer Overflow;https://packetstormsecurity.com/files/102799/Adobe-Reader-5.1-XFDF-Buffer-Overflow.html;unknown
CVE-2004-0200;JpegOfDeath.c;https://packetstormsecurity.com/files/34466/JpegOfDeath.c.html;remote
CVE-2004-0200;JpegOfDeathAll.c;https://packetstormsecurity.com/files/34468/JpegOfDeathAll.c.html;remote
CVE-2004-0200;JpgDownloader.c;https://packetstormsecurity.com/files/34467/JpgDownloader.c.html;unknown
CVE-2004-0200;jpegcompoc.zip;https://packetstormsecurity.com/files/34389/jpegcompoc.zip.html;unknown
CVE-2004-0200;ms04 028 cmd.c;https://packetstormsecurity.com/files/34465/ms04-028-cmd.c.html;local
CVE-2004-0200;sacred_jpg.c;https://packetstormsecurity.com/files/34525/sacred_jpg.c.html;unknown
CVE-2004-0209;HOD ms04032 emf expl2.c;https://packetstormsecurity.com/files/34676/HOD-ms04032-emf-expl2.c.html;unknown
CVE-2004-0212;HOD ms04022 task expl.c;https://packetstormsecurity.com/files/33936/HOD-ms04022-task-expl.c.html;unknown
CVE-2004-0212;taskSched.c;https://packetstormsecurity.com/files/33884/taskSched.c.html;local
CVE-2004-0213;utilmaned1.c;https://packetstormsecurity.com/files/33811/utilmaned1.c.html;local
CVE-2004-0213;utilmaned2.c;https://packetstormsecurity.com/files/33812/utilmaned2.c.html;local
CVE-2004-0230;Kreset.pl;https://packetstormsecurity.com/files/33182/Kreset.pl.html;unknown
CVE-2004-0230;autoRST.c;https://packetstormsecurity.com/files/33243/autoRST.c.html;unknown
CVE-2004-0230;bgp dosv2.pl;https://packetstormsecurity.com/files/33174/bgp-dosv2.pl.html;DoS
CVE-2004-0230;disconn.py;https://packetstormsecurity.com/files/33185/disconn.py.html;unknown
CVE-2004-0230;reset tcp.c;https://packetstormsecurity.com/files/33171/reset-tcp.c.html;unknown
CVE-2004-0230;reset tcp_rfc31337 compliant.c;https://packetstormsecurity.com/files/33172/reset-tcp_rfc31337-compliant.c.html;unknown
CVE-2004-0230;reset.zip;https://packetstormsecurity.com/files/33153/reset.zip.html;unknown
CVE-2004-0230;tcp_reset.c;https://packetstormsecurity.com/files/33202/tcp_reset.c.html;unknown
CVE-2004-0360;raptor_passwd.c;https://packetstormsecurity.com/files/35499/raptor_passwd.c.html;local
CVE-2004-0396;cvs_linux_freebsd_HEAP.c;https://packetstormsecurity.com/files/33384/cvs_linux_freebsd_HEAP.c.html;remote
CVE-2004-0396;cvs_solaris_HEAP.c;https://packetstormsecurity.com/files/33385/cvs_solaris_HEAP.c.html;remote
CVE-2004-0396;freedom.c;https://packetstormsecurity.com/files/34031/freedom.c.html;remote
CVE-2004-0397;Subversion Date Overflow;https://packetstormsecurity.com/files/82288/Subversion-Date-Overflow.html;unknown
CVE-2004-0415;isec 0016 procleaks.txt;https://packetstormsecurity.com/files/33965/isec-0016-procleaks.txt.html;local
CVE-2004-0415;proc_kmem_dump.c;https://packetstormsecurity.com/files/34055/proc_kmem_dump.c.html;local
CVE-2004-0430;priv8afp.pl;https://packetstormsecurity.com/files/34035/priv8afp.pl.html;remote
CVE-2004-0497;raptor_chown.c;https://packetstormsecurity.com/files/35495/raptor_chown.c.html;local
CVE-2004-0510;osx86_mmdfdeliver.c;https://packetstormsecurity.com/files/34740/osx86_mmdfdeliver.c.html;local
CVE-2004-0541;Squid NTLM Authenticate Overflow;https://packetstormsecurity.com/files/82249/Squid-NTLM-Authenticate-Overflow.html;unknown
CVE-2004-0557;evil_song.py;https://packetstormsecurity.com/files/33934/evil_song.py.html;local
CVE-2004-0557;soxWAVFileBufferOverflowExploit.c;https://packetstormsecurity.com/files/33905/soxWAVFileBufferOverflowExploit.c.html;local
CVE-2004-0594;phpnolimit.c;https://packetstormsecurity.com/files/35185/phpnolimit.c.html;unknown
CVE-2004-0600;sambaPoC.txt;https://packetstormsecurity.com/files/33855/sambaPoC.txt.html;unknown
CVE-2004-0608;Unreal Tournament 2004 Overflow;https://packetstormsecurity.com/files/82230/Unreal-Tournament-2004-Overflow.html;unknown
CVE-2004-0636;aimAway.c;https://packetstormsecurity.com/files/34053/aimAway.c.html;local
CVE-2004-0777;sm00ny courier_imap_fsx.c;https://packetstormsecurity.com/files/34330/sm00ny-courier_imap_fsx.c.html;remote
CVE-2004-0790;HOD icmp attacks poc.c;https://packetstormsecurity.com/files/37801/HOD-icmp-attacks-poc.c.html;DoS
CVE-2004-0791;HOD icmp attacks poc.c;https://packetstormsecurity.com/files/37801/HOD-icmp-attacks-poc.c.html;DoS
CVE-2004-0806;cdr_exp.sh;https://packetstormsecurity.com/files/34304/cdr_exp.sh.html;local
CVE-2004-0806;readcd_exp.sh;https://packetstormsecurity.com/files/34328/readcd_exp.sh.html;local
CVE-2004-0816;iptablesDoS.c;https://packetstormsecurity.com/files/34947/iptablesDoS.c.html;DoS
CVE-2004-0932;zipbrk.zip;https://packetstormsecurity.com/files/35055/zipbrk.zip.html;local
CVE-2004-0937;zipbrk.zip;https://packetstormsecurity.com/files/35055/zipbrk.zip.html;local
CVE-2004-0942;apache squ1rt.c;https://packetstormsecurity.com/files/35049/apache-squ1rt.c.html;remote/DoS
CVE-2004-0942;slmail5x.txt;https://packetstormsecurity.com/files/35097/slmail5x.txt.html;remote
CVE-2004-1011;unrealmagic.c;https://packetstormsecurity.com/files/36883/unrealmagic.c.html;remote
CVE-2004-1012;unrealmagic.c;https://packetstormsecurity.com/files/36883/unrealmagic.c.html;remote
CVE-2004-1013;unrealmagic.c;https://packetstormsecurity.com/files/36883/unrealmagic.c.html;remote
CVE-2004-1016;isec 0019 scm.txt;https://packetstormsecurity.com/files/35334/isec-0019-scm.txt.html;local
CVE-2004-1037;tweaky.pl;https://packetstormsecurity.com/files/35068/tweaky.pl.html;remote
CVE-2004-1043;Microsoft Internet Explorer HTML Help Control 4.74 Bypass;https://packetstormsecurity.com/files/148307/Microsoft-Internet-Explorer-HTML-Help-Control-4.74-Bypass.html;local
CVE-2004-1054;getr00t.sh;https://packetstormsecurity.com/files/36794/getr00t.sh.html;unknown
CVE-2004-1060;HOD icmp attacks poc.c;https://packetstormsecurity.com/files/37801/HOD-icmp-attacks-poc.c.html;DoS
CVE-2004-1080;wins.c;https://packetstormsecurity.com/files/35576/wins.c.html;remote
CVE-2004-1137;isec 0018 igmp.txt;https://packetstormsecurity.com/files/35333/isec-0018-igmp.txt.html;unknown
CVE-2004-1150;exploits winamp.tgz;https://packetstormsecurity.com/files/35943/exploits-winamp.tgz.html;unknown
CVE-2004-1172;veritasABS.c;https://packetstormsecurity.com/files/35676/veritasABS.c.html;remote
CVE-2004-1235;isec 0021 uselib.txt;https://packetstormsecurity.com/files/35641/isec-0021-uselib.txt.html;local
CVE-2004-1235;uselib24.c;https://packetstormsecurity.com/files/35920/uselib24.c.html;local
CVE-2004-1315;phpBB viewtopic.php Arbitrary Code Execution;https://packetstormsecurity.com/files/82367/phpBB-viewtopic.php-Arbitrary-Code-Execution.html;unknown
CVE-2004-1364;raptor_oraextproc.sql.txt;https://packetstormsecurity.com/files/53183/raptor_oraextproc.sql.txt.html;unknown
CVE-2004-1388;Berlios GPSD Format String Vulnerability;https://packetstormsecurity.com/files/82236/Berlios-GPSD-Format-String-Vulnerability.html;unknown
CVE-2004-1835;Invision Gallery 1.0.1 SQL Injection;https://packetstormsecurity.com/files/119235/Invision-Gallery-1.0.1-SQL-Injection.html;remote
CVE-2004-2221;Mercantec Softcart CGI Overflow;https://packetstormsecurity.com/files/82225/Mercantec-Softcart-CGI-Overflow.html;unknown
CVE-2004-2271;MiniShare 1.4.1 HEAD POST Buffer Overflow;https://packetstormsecurity.com/files/150689/MiniShare-1.4.1-HEAD-POST-Buffer-Overflow.html;unknown
CVE-2004-2416;ccproxy meta.txt;https://packetstormsecurity.com/files/59050/ccproxy-meta.txt.html;unknown
CVE-2004-2466;Easy Chat Server 2.2 Buffer Overflow;https://packetstormsecurity.com/files/85363/Easy-Chat-Server-2.2-Buffer-Overflow.html;unknown
CVE-2004-2466;Easy Chat Server 3.1 Buffer Overflow;https://packetstormsecurity.com/files/146803/Easy-Chat-Server-3.1-Buffer-Overflow.html;remote
CVE-2004-2466;Easy Chat Server 3.1 Buffer Overflow;https://packetstormsecurity.com/files/167892/Easy-Chat-Server-3.1-Buffer-Overflow.html;remote
CVE-2005-0001;stackgrow.c;https://packetstormsecurity.com/files/35708/stackgrow.c.html;unknown
CVE-2005-0001;stackgrow2.c;https://packetstormsecurity.com/files/35760/stackgrow2.c.html;unknown
CVE-2005-0045;mssmb_poc.c;https://packetstormsecurity.com/files/38264/mssmb_poc.c.html;unknown
CVE-2005-0047;SSExploit.c;https://packetstormsecurity.com/files/39363/SSExploit.c.html;unknown
CVE-2005-0063;MSHTA_POC.c;https://packetstormsecurity.com/files/37202/MSHTA_POC.c.html;unknown
CVE-2005-0116;AWStats configdir Remote Command Execution;https://packetstormsecurity.com/files/82351/AWStats-configdir-Remote-Command-Execution.html;unknown
CVE-2005-0125;DMA 2005 0127a.txt;https://packetstormsecurity.com/files/35929/DMA-2005-0127a.txt.html;unknown
CVE-2005-0155;ex_perl.c;https://packetstormsecurity.com/files/36090/ex_perl.c.html;local
CVE-2005-0156;ex_perl2b.c;https://packetstormsecurity.com/files/36092/ex_perl2b.c.html;local
CVE-2005-0251;BibORB.txt;https://packetstormsecurity.com/files/36209/BibORB.txt.html;unknown
CVE-2005-0252;BibORB.txt;https://packetstormsecurity.com/files/36209/BibORB.txt.html;unknown
CVE-2005-0253;BibORB.txt;https://packetstormsecurity.com/files/36209/BibORB.txt.html;unknown
CVE-2005-0254;BibORB.txt;https://packetstormsecurity.com/files/36209/BibORB.txt.html;unknown
CVE-2005-0260;brightstor.c;https://packetstormsecurity.com/files/36064/brightstor.c.html;unknown
CVE-2005-0260;cabrightstor_disco.pm;https://packetstormsecurity.com/files/36062/cabrightstor_disco.pm.html;unknown
CVE-2005-0351;termsh.c;https://packetstormsecurity.com/files/42775/termsh.c.html;local
CVE-2005-0352;serversAlive.txt;https://packetstormsecurity.com/files/36676/serversAlive.txt.html;local
CVE-2005-0385;luxman_ex2.pl;https://packetstormsecurity.com/files/36632/luxman_ex2.pl.html;local
CVE-2005-0478;trackercam_phparg_overflow.pm;https://packetstormsecurity.com/files/36461/trackercam_phparg_overflow.pm.html;unknown
CVE-2005-0511;vBulletin misc.php Template Name Arbitrary Code Execution;https://packetstormsecurity.com/files/82364/vBulletin-misc.php-Template-Name-Arbitrary-Code-Execution.html;unknown
CVE-2005-0548;answerbook2.txt;https://packetstormsecurity.com/files/36842/answerbook2.txt.html;unknown
CVE-2005-0549;answerbook2.txt;https://packetstormsecurity.com/files/36842/answerbook2.txt.html;unknown
CVE-2005-0553;ie_dhtml_poc.txt;https://packetstormsecurity.com/files/37192/ie_dhtml_poc.txt.html;unknown
CVE-2005-0581;101_cali.c;https://packetstormsecurity.com/files/36485/101_cali.c.html;unknown
CVE-2005-0581;calicclnt_getconfig.pm;https://packetstormsecurity.com/files/36462/calicclnt_getconfig.pm.html;local
CVE-2005-0581;calicserv_getconfig.pm;https://packetstormsecurity.com/files/36463/calicserv_getconfig.pm.html;unknown
CVE-2005-0708;FreeBSD SA 05 02.sendfile Exploit;https://packetstormsecurity.com/files/100015/FreeBSD-SA-05-02.sendfile-Exploit.html;unknown
CVE-2005-0716;xosx cf.c;https://packetstormsecurity.com/files/36760/xosx-cf.c.html;local
CVE-2005-0773;backupexec_agent.pm.txt;https://packetstormsecurity.com/files/38312/backupexec_agent.pm.txt.html;unknown
CVE-2005-1099;GLD Greylisting Daemon Postfix Buffer Overflow;https://packetstormsecurity.com/files/82242/GLD-Greylisting-Daemon-Postfix-Buffer-Overflow.html;unknown
CVE-2005-1252;iDEFENSE Security Advisory 2005 05 24.4;https://packetstormsecurity.com/files/39313/iDEFENSE-Security-Advisory-2005-05-24.4.html;remote
CVE-2005-1263;isec 0023 coredump.txt;https://packetstormsecurity.com/files/39133/isec-0023-coredump.txt.html;unknown
CVE-2005-1366;rt sa 2005 011.txt;https://packetstormsecurity.com/files/39268/rt-sa-2005-011.txt.html;unknown
CVE-2005-1367;rt sa 2005 012.txt;https://packetstormsecurity.com/files/39269/rt-sa-2005-012.txt.html;local
CVE-2005-1513;Qmail Local Privilege Escalation Remote Code Execution;https://packetstormsecurity.com/files/158203/Qmail-Local-Privilege-Escalation-Remote-Code-Execution.html;remote/local
CVE-2005-1513;Qualys Security Advisory Qmail Remote Code Execution;https://packetstormsecurity.com/files/157805/Qualys-Security-Advisory-Qmail-Remote-Code-Execution.html;unknown
CVE-2005-1514;Qualys Security Advisory Qmail Remote Code Execution;https://packetstormsecurity.com/files/157805/Qualys-Security-Advisory-Qmail-Remote-Code-Execution.html;unknown
CVE-2005-1515;Qualys Security Advisory Qmail Remote Code Execution;https://packetstormsecurity.com/files/157805/Qualys-Security-Advisory-Qmail-Remote-Code-Execution.html;unknown
CVE-2005-1589;lk26.txt;https://packetstormsecurity.com/files/39272/lk26.txt.html;local/DoS
CVE-2005-1691;Corsaire Security Advisory 2005 05 03.1;https://packetstormsecurity.com/files/38904/Corsaire-Security-Advisory-2005-05-03.1.html;unknown
CVE-2005-1790;poc.tgz;https://packetstormsecurity.com/files/41890/poc.tgz.html;DoS
CVE-2005-1983;HOD ms05039 pnp expl.c;https://packetstormsecurity.com/files/39254/HOD-ms05039-pnp-expl.c.html;remote
CVE-2005-1983;ms05039.c;https://packetstormsecurity.com/files/39227/ms05039.c.html;remote
CVE-2005-1990;ms05038.c;https://packetstormsecurity.com/files/39225/ms05038.c.html;remote
CVE-2005-2086;phpBB viewtopic.php Arbitrary Code Execution;https://packetstormsecurity.com/files/82367/phpBB-viewtopic.php-Arbitrary-Code-Execution.html;unknown
CVE-2005-2120;20051021.MS05 047.c;https://packetstormsecurity.com/files/41260/20051021.MS05-047.c.html;remote
CVE-2005-2523;Exploit Labs Security Advisory 2005.10;https://packetstormsecurity.com/files/39428/Exploit-Labs-Security-Advisory-2005.10.html;unknown
CVE-2005-2612;WordPress cache_lastpostdate Arbitrary Code Execution;https://packetstormsecurity.com/files/82365/WordPress-cache_lastpostdate-Arbitrary-Code-Execution.html;unknown
CVE-2005-2733;Simple PHP Blog 0.4.0 Command Execution;https://packetstormsecurity.com/files/82368/Simple-PHP-Blog-0.4.0-Command-Execution.html;unknown
CVE-2005-2773;HP Openview connectedNodes.ovpl Remote Command Execution;https://packetstormsecurity.com/files/82362/HP-Openview-connectedNodes.ovpl-Remote-Command-Execution.html;unknown
CVE-2005-2773;openview_connectednodes_exec.pm.txt;https://packetstormsecurity.com/files/42295/openview_connectednodes_exec.pm.txt.html;unknown
CVE-2005-2799;Linksys apply.cgi Buffer Overflow;https://packetstormsecurity.com/files/82237/Linksys-apply.cgi-Buffer-Overflow.html;unknown
CVE-2005-2847;Barracuda IMG.PL Remote Command Execution;https://packetstormsecurity.com/files/82353/Barracuda-IMG.PL-Remote-Command-Execution.html;unknown
CVE-2005-2871;pwnzilla.txt;https://packetstormsecurity.com/files/40211/pwnzilla.txt.html;unknown
CVE-2005-2925;iDEFENSE Security Advisory 2005 10 10.t;https://packetstormsecurity.com/files/40574/iDEFENSE-Security-Advisory-2005-10-10.t.html;local
CVE-2005-2959;sudo168p10.sh.txt;https://packetstormsecurity.com/files/41442/sudo168p10.sh.txt.html;local
CVE-2005-2961;prozilla.c;https://packetstormsecurity.com/files/40463/prozilla.c.html;unknown
CVE-2005-2967;xine cddb server.pl.txt;https://packetstormsecurity.com/files/40524/xine-cddb-server.pl.txt.html;remote
CVE-2005-3116;veritasOverflow.c;https://packetstormsecurity.com/files/43245/veritasOverflow.c.html;remote
CVE-2005-3189;iDEFENSE Security Advisory 2005 11 17.t;https://packetstormsecurity.com/files/41692/iDEFENSE-Security-Advisory-2005-11-17.t.html;remote
CVE-2005-3252;Snort Back Orifice Stack Overflow;https://packetstormsecurity.com/files/82239/Snort-Back-Orifice-Stack-Overflow.html;unknown
CVE-2005-3294;TYPSoft FTP Server 1.10 Denial Of Service;https://packetstormsecurity.com/files/97139/TYPSoft-FTP-Server-1.10-Denial-Of-Service.html;DoS
CVE-2005-3330;Feed2JS File Disclosure;https://packetstormsecurity.com/files/127352/Feed2JS-File-Disclosure.html;local
CVE-2005-3347;Hardened PHP Project Security Advisory 2005 21.81;https://packetstormsecurity.com/files/41530/Hardened-PHP-Project-Security-Advisory-2005-21.81.html;unknown
CVE-2005-3348;Hardened PHP Project Security Advisory 2005 21.81;https://packetstormsecurity.com/files/41530/Hardened-PHP-Project-Security-Advisory-2005-21.81.html;unknown
CVE-2005-3528;0003.txt;https://packetstormsecurity.com/files/41440/0003.txt.html;unknown
CVE-2005-3529;0003.txt;https://packetstormsecurity.com/files/41440/0003.txt.html;unknown
CVE-2005-3530;0004.txt;https://packetstormsecurity.com/files/41441/0004.txt.html;unknown
CVE-2005-4351;rt sa 2005 15.txt;https://packetstormsecurity.com/files/42925/rt-sa-2005-15.txt.html;unknown
CVE-2005-4605;Linux Kernel procfs Memory Disclosure;https://packetstormsecurity.com/files/79987/Linux-Kernel-procfs-Memory-Disclosure.html;unknown
CVE-2006-0058;rbl4ck_sendmail.tgz;https://packetstormsecurity.com/files/48476/rbl4ck_sendmail.tgz.html;remote
CVE-2006-0323;realplayer swf PoC.pl.txt;https://packetstormsecurity.com/files/45093/realplayer-swf-PoC.pl.txt.html;unknown
CVE-2006-0377;SquirrelFlaws.txt;https://packetstormsecurity.com/files/44274/SquirrelFlaws.txt.html;unknown
CVE-2006-0441;KarjaSoft Sami FTP Server 2.0.2 Buffer Overflow;https://packetstormsecurity.com/files/139468/KarjaSoft-Sami-FTP-Server-2.0.2-Buffer-Overflow.html;remote
CVE-2006-0542;EV0056.txt;https://packetstormsecurity.com/files/43726/EV0056.txt.html;unknown
CVE-2006-0570;EV0061.txt;https://packetstormsecurity.com/files/43802/EV0061.txt.html;unknown
CVE-2006-0571;EV0061.txt;https://packetstormsecurity.com/files/43802/EV0061.txt.html;unknown
CVE-2006-0572;EV0061.txt;https://packetstormsecurity.com/files/43802/EV0061.txt.html;unknown
CVE-2006-0605;EV0055.txt;https://packetstormsecurity.com/files/43725/EV0055.txt.html;unknown
CVE-2006-0606;EV0055.txt;https://packetstormsecurity.com/files/43725/EV0055.txt.html;unknown
CVE-2006-0607;EV0060.txt;https://packetstormsecurity.com/files/43801/EV0060.txt.html;unknown
CVE-2006-0608;EV0060.txt;https://packetstormsecurity.com/files/43801/EV0060.txt.html;unknown
CVE-2006-0609;EV0060.txt;https://packetstormsecurity.com/files/43801/EV0060.txt.html;unknown
CVE-2006-0627;EV0064.txt;https://packetstormsecurity.com/files/43803/EV0064.txt.html;unknown
CVE-2006-0776;EV0077.txt;https://packetstormsecurity.com/files/44196/EV0077.txt.html;unknown
CVE-2006-0777;EV0076.txt;https://packetstormsecurity.com/files/44183/EV0076.txt.html;remote
CVE-2006-0780;EV0081.txt;https://packetstormsecurity.com/files/44282/EV0081.txt.html;unknown
CVE-2006-0781;EV0081.txt;https://packetstormsecurity.com/files/44282/EV0081.txt.html;unknown
CVE-2006-0782;EV0081.txt;https://packetstormsecurity.com/files/44282/EV0081.txt.html;unknown
CVE-2006-0795;EV0078.txt;https://packetstormsecurity.com/files/44264/EV0078.txt.html;unknown
CVE-2006-0809;EV0084.txt;https://packetstormsecurity.com/files/44361/EV0084.txt.html;unknown
CVE-2006-0810;EV0084.txt;https://packetstormsecurity.com/files/44361/EV0084.txt.html;unknown
CVE-2006-0811;EV0084.txt;https://packetstormsecurity.com/files/44361/EV0084.txt.html;unknown
CVE-2006-0829;EV0083.txt;https://packetstormsecurity.com/files/44337/EV0083.txt.html;unknown
CVE-2006-0843;EV0082.txt;https://packetstormsecurity.com/files/44315/EV0082.txt.html;unknown
CVE-2006-0844;EV0082.txt;https://packetstormsecurity.com/files/44315/EV0082.txt.html;unknown
CVE-2006-0845;EV0082.txt;https://packetstormsecurity.com/files/44315/EV0082.txt.html;unknown
CVE-2006-0877;EV0085.txt;https://packetstormsecurity.com/files/44414/EV0085.txt.html;unknown
CVE-2006-0896;EV0086.txt;https://packetstormsecurity.com/files/44452/EV0086.txt.html;unknown
CVE-2006-0957;EV0089.txt;https://packetstormsecurity.com/files/44571/EV0089.txt.html;unknown
CVE-2006-0958;EV0089.txt;https://packetstormsecurity.com/files/44571/EV0089.txt.html;unknown
CVE-2006-1148;PeerCast 0.1216 Buffer Overflow;https://packetstormsecurity.com/files/82238/PeerCast-0.1216-Buffer-Overflow.html;unknown
CVE-2006-1236;Crossfire Server 1.0 Buffer Overflow;https://packetstormsecurity.com/files/163873/Crossfire-Server-1.0-Buffer-Overflow.html;remote
CVE-2006-1256;EV0104.txt;https://packetstormsecurity.com/files/45094/EV0104.txt.html;unknown
CVE-2006-1259;EV0103.txt;https://packetstormsecurity.com/files/45078/EV0103.txt.html;unknown
CVE-2006-1328;EV0105.txt;https://packetstormsecurity.com/files/45095/EV0105.txt.html;unknown
CVE-2006-1341;EV0102.txt;https://packetstormsecurity.com/files/45077/EV0102.txt.html;unknown
CVE-2006-1551;PAJAX Remote Command Execution;https://packetstormsecurity.com/files/82363/PAJAX-Remote-Command-Execution.html;unknown
CVE-2006-1953;Rapid7 Security Advisory 24;https://packetstormsecurity.com/files/46471/Rapid7-Security-Advisory-24.html;remote
CVE-2006-2109;aklink sa 2006 001 jsboard xss.txt;https://packetstormsecurity.com/files/46046/aklink-sa-2006-001-jsboard-xss.txt.html;unknown
CVE-2006-2389;Microsoft Office Property Code Execution;https://packetstormsecurity.com/files/93302/Microsoft-Office-Property-Code-Execution.html;unknown
CVE-2006-2444;ecl nf snmpwn.c;https://packetstormsecurity.com/files/47028/ecl-nf-snmpwn.c.html;DoS
